# smile Persian teacher dictionary v2 — UTF-8 TSV
# columns: word<TAB>frequency<TAB>status<TAB>source_or_note
# membership source: Lilak Persian Spell Checking Dictionary (Apache-2.0)
# frequency source: filtered subtitle frequencies (CC BY-SA 4.0); frequency is weight, not proof of validity
# statuses understood by the loader: verified | suggested | blocked
# Do not edit this generated base directly; put personal changes in my_words.tsv.
آخرالامر	1	verified	lilak:adverb
آخرالزمان	268	verified	lilak:noun_singular
آخراندیش	1	verified	lilak:noun_singular
آخراندیشی	1	verified	lilak:noun_singular
آخرت	145	verified	lilak:noun_singular
آخرت‌گرا	1	verified	lilak:noun_singular
آخرسر	59	verified	lilak:adverb
آخری	637	verified	lilak:adjective
آخرین	13216	verified	lilak:numeral
آخشیج	1	verified	lilak:noun_singular
آخن	2	verified	lilak:noun_singular
آخ‌واوخ	1	verified	lilak:noun_singular
آخور	25	verified	lilak:noun_singular
آخورک	1	verified	lilak:noun_singular
آخورگاه	1	verified	lilak:noun_singular
آخوند	15	verified	lilak:noun_singular
آخوندزادگان	1	verified	lilak:noun_plural
آخوندزاده	1	verified	lilak:adjective
آخوندک	24	verified	lilak:noun_singular
آخوندنما	1	verified	lilak:noun_singular
آخوندی	1	verified	lilak:noun_singular
آخوندیان	1	verified	lilak:noun_singular
آخ‌وواخ	1	verified	lilak:noun_singular
آداب	223	verified	lilak:noun_plural
آدات	1	verified	lilak:noun_plural
آدام	1145	verified	lilak:noun_singular
آدامز	228	verified	lilak:noun_singular
آدامس	359	verified	lilak:noun_singular
آدامکوس	1	verified	lilak:noun_singular
آداموف	1	verified	lilak:noun_singular
آداپتور	5	verified	lilak:noun_singular
آدبایور	1	verified	lilak:noun_singular
آدرس	1851	verified	lilak:noun_singular
آدرس‌دهی	1	verified	lilak:noun_singular
آدرس‌نویسی	1	verified	lilak:noun_singular
آدرنال	1	verified	lilak:noun_singular
آدرنالین	205	verified	lilak:noun_singular
آدریاتیک	13	verified	lilak:noun_singular
آدریان	228	verified	lilak:noun_singular
آدریانو	2	verified	lilak:noun_singular
آدلاید	30	verified	lilak:noun_singular
آدلف	6	verified	lilak:noun_singular
آدم	29910	verified	lilak:noun_singular
آدم‌آهنی	1	verified	lilak:noun_singular
آدم‌برفی	1	verified	lilak:noun_singular
آدم‌خوار	46	verified	lilak:adjective
آدم‌خواری	11	verified	lilak:noun_singular
آدم‌خور	9	verified	lilak:adjective
آدم‌ربا	8	verified	lilak:noun_singular
آدم‌ربایی	50	verified	lilak:noun_singular
آدمستان	1	verified	lilak:noun_singular
آدم‌شناس	1	verified	lilak:noun_singular
آدم‌شناسی	1	verified	lilak:noun_singular
آدمک	48	verified	lilak:noun_singular
آدم‌کش	492	verified	lilak:noun_singular
آدمکشانه	1	verified	lilak:adjective
آدمکشی	150	verified	lilak:noun_singular
آدم‌ندیده	1	verified	lilak:adjective
آدم‌نما	1	verified	lilak:noun_singular
آدم‌وار	1	verified	lilak:adjective
آدمها	825	verified	lilak:noun_plural
آدمی	2967	verified	lilak:noun_singular
آدمیان	13	verified	lilak:noun_plural
آدمیت	4	verified	lilak:noun_singular
آدمیزاد	138	verified	lilak:noun_singular
آدمیزادگان	1	verified	lilak:noun_plural
آدمیزادگی	1	verified	lilak:noun_singular
آدمیزاده	13	verified	lilak:noun_singular
آدمیزادی	16	verified	lilak:noun_singular
آدمی‌سیرت	1	verified	lilak:adjective
آدمیگری	1	verified	lilak:noun_singular
آدورنو	1	verified	lilak:noun_singular
آدولف	88	verified	lilak:noun_singular
آدولفوس	1	verified	lilak:noun_singular
آدونیس	33	verified	lilak:noun_singular
آدیداس	4	verified	lilak:noun_singular
آدیس‌آبابا	1	verified	lilak:noun_singular
آدیسابابا	1	verified	lilak:noun_singular
آدینه	1	verified	lilak:noun_singular
آذر	4	verified	lilak:noun_singular
آذرآباد	1	verified	lilak:noun_singular
آذرافزا	1	verified	lilak:noun_singular
آذربایجان	8	verified	lilak:noun_singular
آذربایجانی	1	verified	lilak:noun_singular
آذرتاج	1	verified	lilak:noun_singular
آذرخش	158	verified	lilak:noun_singular
آذردخت	1	verified	lilak:noun_singular
آذرسینا	1	verified	lilak:noun_singular
آذرشاهی	1	verified	lilak:noun_singular
آذرشهر	1	verified	lilak:noun_singular
آذرک	1	verified	lilak:noun_singular
آذرکده	1	verified	lilak:noun_singular
آذرگان	1	verified	lilak:noun_singular
آذرگشنسب	1	verified	lilak:noun_singular
آذرماه	1	verified	lilak:noun_singular
آذرمیدخت	1	verified	lilak:noun_singular
آذرمینا	1	verified	lilak:noun_singular
آذرنژاد	1	verified	lilak:noun_singular
آذرنگ	1	verified	lilak:noun_singular
آذرنگی	1	verified	lilak:noun_singular
